id,city_id,date,country,city,cloudiness,humidity,maximum_temperature,maximum_temperature_f,wind_speed_kmh,lat,lng
0,367,2025-01-08,AF,'Alaqahdari Dishu,23,53,7.02,44.636,2.09,30.4374,63.313
1,311,2025-01-08,AF,Parun,0,39,-13.66,7.411999999999999,8.58,35.4207,70.9221
2,224,2025-01-08,AF,Sangin,4,43,7.46,45.428,1.84,32.0728,64.8359
3,294,2025-01-08,BD,Sandwip,0,63,17.92,64.256,7.01,22.4678,91.4561
4,142,2025-01-08,BJ,Porto Novo,7,85,28.9,84.02,2.61,6.4965,2.6036
5,365,2025-01-08,BS,West End,100,63,19.57,67.226,3.33,26.6833,-78.9667
6,292,2025-01-08,BS,Marsh Harbour,99,64,19.17,66.506,4.21,26.5412,-77.0636
7,483,2025-01-08,BY,Kobryn,100,87,0.85,33.53,4.24,52.2138,24.3564
8,99,2025-01-08,BY,Orsa,100,95,0.28,32.504,2.4,54.5153,30.4053
9,70,2025-01-08,BY,Byalynichy,100,98,-0.16,31.712,2.79,53.9983,29.7126
10,500,2025-01-08,CA,Peace River,0,69,2.17,35.906,3.6,56.2501,-117.286
11,10,2025-01-08,CA,Kapuskasing,0,59,-18.95,-2.1099999999999994,4.63,49.4169,-82.4331
12,31,2025-01-08,CA,Mount Pearl,100,95,1.25,34.25,3.09,47.5166,-52.7813
13,146,2025-01-08,CA,Happy Valley-Goose Bay,100,100,2.17,35.906,3.6,53.3168,-60.3315
14,11,2025-01-08,CA,Dryden,40,72,-12.84,8.887999999999998,5.66,49.7833,-92.7503
15,318,2025-01-08,CA,Elliot Lake,3,42,-13.61,7.502000000000002,3.09,46.3834,-82.6331
16,358,2025-01-08,CA,Moose Jaw,100,80,2.15,35.87,7.72,50.4001,-105.5344
17,423,2025-01-08,CA,Summerland,75,73,2.18,35.924,4.12,49.5998,-119.6691
18,157,2025-01-08,CA,Whitehorse,40,79,-4.57,23.774,5.66,60.7161,-135.0538
19,60,2025-01-08,CA,Swift Current,100,80,2.45,36.41,6.17,50.2834,-107.8014
20,309,2025-01-08,CA,Cole Harbour,100,73,-3.02,26.564,8.23,44.6724,-63.4751
21,106,2025-01-08,CA,St. John'S,100,94,1.71,35.078,3.09,47.5649,-52.7093
22,536,2025-01-08,CA,Smithers,100,100,0.18,32.324,1.54,54.7804,-127.1743
23,469,2025-01-08,CA,Selkirk,100,81,-9.9,14.18,5.81,50.1436,-96.8845
24,497,2025-01-08,CA,Thunder Bay,20,62,-10.05,13.91,2.57,48.4001,-89.3168
25,214,2025-01-08,CA,Grande Prairie,40,65,4.1,39.38,6.17,55.1667,-118.8027
26,173,2025-01-08,CA,Thompson,100,86,-8.91,15.962,3.6,55.7435,-97.8558
27,8,2025-01-08,CA,Saskatoon,40,80,-0.01,31.982,7.2,52.1168,-106.6345
28,336,2025-01-08,CA,Chibougamau,100,85,-13.21,8.221999999999998,5.66,49.9168,-74.3659
29,48,2025-01-08,CA,Iqaluit,75,76,-21.84,-7.311999999999998,12.35,63.7506,-68.5145
30,506,2025-01-08,CA,Levuka,100,80,1.85,35.33,7.72,50.1834,-105.4011
31,5,2025-01-08,CA,Yellowknife,100,92,-15.71,3.7219999999999978,8.75,62.456,-114.3525
