City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
173,2025-01-07,AF,Shahrak,80,79,-8.1,17.42,2.63,34.1074,64.3052
206,2025-01-07,AO,Soio,90,86,25.31,77.55799999999999,2.73,-6.1349,12.3689
287,2025-01-07,AO,Namibe,74,81,21.36,70.44800000000001,0.77,-15.1961,12.1522
175,2025-01-07,AO,Luena,100,94,16.83,62.294,1.89,-11.7833,19.9167
574,2025-01-07,AO,N'Dalatando,90,96,19.27,66.686,0.68,-9.2978,14.9116
194,2025-01-07,AO,Menongue,100,63,19.92,67.85600000000001,1.96,-14.6585,17.691
322,2025-01-07,AR,San Juan,65,39,29.95,85.91,9.99,-31.5375,-68.5364
485,2025-01-07,AR,Pampa Del Indio,2,28,28.91,84.038,3.04,-26.0647,-59.919
361,2025-01-07,AR,Victorica,17,31,30.8,87.44,1.76,-36.2151,-65.4359
514,2025-01-07,AR,Pico Truncado,27,65,16.53,61.754000000000005,8.7,-46.7949,-67.9573
477,2025-01-07,AR,San Rafael,70,70,21.28,70.304,10.82,-34.6177,-68.3301
510,2025-01-07,AR,Los Frentones,11,34,28.7,83.66,1.95,-26.4077,-61.4137
25,2025-01-07,AR,Ushuaia,40,36,16.81,62.257999999999996,2.06,-54.8,-68.3
107,2025-01-07,AR,Viedma,90,70,22.86,73.148,8.78,-40.8135,-62.9967
303,2025-01-07,AR,Gobernador Virasora,0,57,23.89,75.002,0.89,-28.05,-56.0333
496,2025-01-07,AR,Presidencia De La Plaza,0,35,27.18,80.924,2.84,-27.0015,-59.8424
210,2025-01-07,AR,Puerto Deseado,20,86,13.98,57.164,6.03,-47.7503,-65.8938
475,2025-01-07,AR,Rio Gallegos,0,72,16.03,60.854,8.23,-51.6226,-69.2181
443,2025-01-07,AS,Taulaga,97,72,28.62,83.51599999999999,10.1,-11.0553,-171.0883
237,2025-01-07,AU,Mount Gambier,10,29,26.56,79.80799999999999,1.83,-37.8333,140.7667
432,2025-01-07,AU,Strathalbyn,2,24,28.62,83.51599999999999,2.65,-35.2667,138.9
26,2025-01-07,AU,Margaret River,60,59,18.32,64.976,3.43,-33.95,115.0667
264,2025-01-07,AU,Mount Isa,0,41,34.87,94.76599999999999,4.12,-20.7333,139.5
74,2025-01-07,AU,Blackmans Bay,13,64,20.41,68.738,0.45,-43.0167,147.3167
95,2025-01-07,AU,Blackwater,72,82,27.61,81.69800000000001,4.36,-23.5833,148.8833
440,2025-01-07,AU,Black Point,1,42,22.62,72.71600000000001,2.42,-34.6187,137.8972
105,2025-01-07,AU,Port Augusta,0,16,29.26,84.668,1.53,-32.5,137.7667
545,2025-01-07,AU,Emerald,66,56,27.41,81.338,4.95,-23.5333,148.1667
403,2025-01-07,AU,Howard Springs,97,84,28.79,83.822,1.8,-12.497,131.047
17,2025-01-07,AU,Carnarvon,0,54,26.21,79.178,9.59,-24.8667,113.6333
62,2025-01-07,AU,New Norfolk,10,35,21.07,69.926,1.07,-42.7826,147.0587
55,2025-01-07,AU,Kununurra,59,74,30.99,87.782,0.51,-15.7667,128.7333
555,2025-01-07,AU,Noosa Heads,10,57,25.05,77.09,3.2,-26.3833,153.15
559,2025-01-07,AU,Forster,100,93,20.77,69.386,7.47,-32.1667,152.5167
351,2025-01-07,AU,Ulladulla,100,62,19.64,67.352,5.75,-35.35,150.4667
406,2025-01-07,AU,Karratha,62,50,33.28,91.904,1.83,-20.7377,116.8463
52,2025-01-07,AU,Alice Springs,79,27,30.75,87.35,6.69,-23.7,133.8833
527,2025-01-07,AU,Newcastle,100,95,19.32,66.776,7.72,-32.9272,151.7765
274,2025-01-07,AU,Wynyard,56,66,16.77,62.186,5.81,-41.0,145.7167
4,2025-01-07,AU,Port Lincoln,46,61,21.45,70.61,3.29,-34.7333,135.8667
304,2025-01-07,AU,Urangan,0,51,25.71,78.278,1.58,-25.3,152.9
298,2025-01-07,AU,Geraldton,75,64,24.23,75.614,8.23,-28.7667,114.6
156,2025-01-07,AU,Cannonvale,64,64,26.66,79.988,5.39,-20.2833,148.7
85,2025-01-07,AZ,Barda,65,77,4.29,39.722,2.39,40.3744,47.1267
24,2025-01-07,BD,Uttar Char Fasson,0,67,17.85,64.13,3.3,22.2332,90.7132
41,2025-01-07,BF,Diapaga,10,21,23.06,73.508,3.39,12.0708,1.7889
39,2025-01-07,BF,Hounde,100,18,25.74,78.332,3.25,11.5,-3.5167
340,2025-01-07,BJ,Porto Novo,66,87,25.68,78.224,1.45,6.4965,2.6036
548,2025-01-07,BO,Robore,95,73,25.82,78.476,1.3,-18.3333,-59.75
411,2025-01-07,BO,La Paz,75,81,11.43,52.574,2.06,-16.5,-68.15
517,2025-01-07,BO,San Borja,78,97,23.44,74.19200000000001,1.38,-14.8167,-66.85
65,2025-01-07,BO,Santa Cruz,75,100,24.7,76.46,3.6,-17.8,-63.1667
277,2025-01-07,BR,Conceicao Do Araguaia,79,95,23.54,74.372,1.57,-8.2578,-49.2647
202,2025-01-07,BR,Igarape Miri,93,100,23.05,73.49000000000001,0.87,-1.975,-48.9597
371,2025-01-07,BR,Riolandia,33,77,23.81,74.858,2.66,-19.9808,-49.6819
249,2025-01-07,BR,Borba,100,98,24.07,75.326,0.41,-4.3878,-59.5939
518,2025-01-07,BR,Natal,40,83,27.36,81.248,4.12,-5.795,-35.2094
560,2025-01-07,BR,Ilhabela,69,90,23.53,74.354,2.23,-23.7781,-45.3581
251,2025-01-07,BR,Prado,98,92,24.65,76.37,4.59,-17.3411,-39.2208
321,2025-01-07,BR,Ituiutaba,56,86,23.45,74.21,2.0,-18.9689,-49.465
400,2025-01-07,BR,Sao Gabriel Da Cachoeira,93,80,25.93,78.674,0.83,-0.1303,-67.0892
178,2025-01-07,BR,Sao Joao Da Barra,100,93,23.71,74.678,2.54,-21.6403,-41.0511
245,2025-01-07,BR,Sao Jose Da Coroa Grande,47,74,26.14,79.05199999999999,5.88,-8.8978,-35.1478
526,2025-01-07,BR,Cabedelo,7,77,27.37,81.266,6.32,-6.9811,-34.8339
396,2025-01-07,BR,Terenos,40,74,27.84,82.112,1.03,-20.4422,-54.8603
550,2025-01-07,BR,Sao Vicente,74,26,24.97,76.946,2.24,-23.9631,-46.3919
495,2025-01-07,BR,Jequitinhonha,92,98,20.34,68.612,1.36,-16.4339,-41.0033
335,2025-01-07,BR,Jutai,98,95,23.68,74.624,0.23,-5.1833,-68.9
571,2025-01-07,BR,Nova Vicosa,98,87,24.46,76.028,4.57,-17.8919,-39.3719
522,2025-01-07,BR,Oriximina,97,86,25.38,77.684,0.99,-1.7656,-55.8661
257,2025-01-07,BR,Parauapebas,75,98,21.98,71.564,0.43,-6.0675,-49.9022
306,2025-01-07,BR,Curaca,27,42,30.68,87.224,4.85,-8.9903,-39.9094
152,2025-01-07,BR,Cidreira,49,73,21.33,70.39399999999999,5.14,-30.1811,-50.2056
395,2025-01-07,BR,Bom Jardim,9,74,23.33,73.994,4.09,-7.7958,-35.5872
311,2025-01-07,BR,Martinho Campos,59,93,21.21,70.178,0.75,-19.3317,-45.2369
292,2025-01-07,BR,Acarau,8,79,26.79,80.222,5.4,-2.8856,-40.12
392,2025-01-07,BR,Alenquer,100,85,25.26,77.468,1.66,-1.9417,-54.7383
461,2025-01-07,BR,Altamira,100,98,23.57,74.426,0.98,-3.2033,-52.2064
537,2025-01-07,BR,Vila Velha,100,98,22.97,73.346,2.06,-20.3297,-40.2925
88,2025-01-07,BR,Arraial Do Cabo,75,94,24.98,76.964,2.06,-22.9661,-42.0278
159,2025-01-07,BR,Limoeiro Do Norte,85,80,26.3,79.34,4.64,-5.1456,-38.0981
489,2025-01-07,BR,Aripuana,83,97,23.65,74.57,0.44,-9.1667,-60.6333
61,2025-01-07,BW,Tshabong,61,27,25.9,78.62,1.2,-26.05,22.45
493,2025-01-07,CA,Levuka,100,86,-8.15,17.33,10.8,50.1834,-105.4011
142,2025-01-07,CA,St. John'S,100,95,2.21,35.978,3.09,47.5649,-52.7093
28,2025-01-07,CA,Yellowknife,75,99,-11.44,11.408000000000001,5.66,62.456,-114.3525
182,2025-01-07,CA,Kapuskasing,75,65,-19.95,-3.9099999999999966,5.14,49.4169,-82.4331
280,2025-01-07,CA,Dauphin,0,66,-15.92,3.344000000000001,5.66,51.1494,-100.0502
18,2025-01-07,CA,Prince Rupert,100,99,8.83,47.894,4.63,54.3161,-130.3201
558,2025-01-07,CA,Mont-Tremblant,100,85,-10.79,12.578000000000003,6.49,46.1949,-74.6264
81,2025-01-07,CA,Grand Falls-Windsor,100,94,0.28,32.504,2.71,48.9332,-55.6649
226,2025-01-07,CA,Chibougamau,100,85,-13.21,8.221999999999998,7.2,49.9168,-74.3659
