City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
502,2025-01-07 00:00:00,AE,Ar Ruways,100,68,15.83,60.494,2.2,24.1103,52.7306
437,2025-01-07 00:00:00,AF,Shahrak,7,53,-9.64,14.648,2.21,34.1074,64.3052
262,2025-01-07 00:00:00,AX,Mariehamn,100,93,-1.08,30.056,7.2,60.0973,19.9348
205,2025-01-07 00:00:00,AZ,Pirallahi,21,68,4.08,39.344,3.08,40.4723,50.333
404,2025-01-07 00:00:00,BF,Bogande,45,18,22.63,72.734,4.0,12.9714,-0.1436
552,2025-01-07 00:00:00,BF,Diapaga,3,16,21.89,71.402,3.1,12.0708,1.7889
452,2025-01-07 00:00:00,BF,Gorom-Gorom,8,18,22.23,72.014,3.75,14.4439,-0.2361
436,2025-01-07 00:00:00,BF,Kokologo,16,22,22.38,72.28399999999999,4.04,12.1897,-1.8856
195,2025-01-07 00:00:00,BJ,Porto Novo,97,87,27.9,82.22,1.92,6.4965,2.6036
43,2025-01-07 00:00:00,BN,Kuala Belait,96,77,28.32,82.976,0.92,4.5833,114.1833
413,2025-01-07 00:00:00,BR,Boa Vista,0,51,28.99,84.18199999999999,4.63,2.8197,-60.6733
50,2025-01-07 00:00:00,BS,Marsh Harbour,11,69,22.62,72.71600000000001,8.28,26.5412,-77.0636
424,2025-01-07 00:00:00,CA,Conception Bay South,100,97,3.19,37.742,3.47,47.4999,-52.9981
49,2025-01-07 00:00:00,CA,Happy Valley-Goose Bay,100,100,1.17,34.106,4.12,53.3168,-60.3315
144,2025-01-07 00:00:00,CA,Glace Bay,100,87,1.76,35.168,7.72,46.1969,-59.957
252,2025-01-07 00:00:00,CA,Mount Pearl,100,98,2.86,37.147999999999996,4.12,47.5166,-52.7813
470,2025-01-07 00:00:00,CA,Smithers,75,86,-4.82,23.323999999999998,2.06,54.7804,-127.1743
373,2025-01-07 00:00:00,CA,Morinville,0,85,-14.12,6.584,2.06,53.8001,-113.652
313,2025-01-07 00:00:00,CA,Dryden,75,66,-16.84,1.6879999999999988,1.54,49.7833,-92.7503
429,2025-01-07 00:00:00,CA,Fort St. John,75,85,-17.06,1.2920000000000016,3.09,56.2499,-120.8529
16,2025-01-07 00:00:00,CA,Thompson,0,76,-26.91,-16.438000000000002,2.57,55.7435,-97.8558
322,2025-01-07 00:00:00,CA,Sept-Iles,100,85,0.24,32.432,6.17,50.2001,-66.3821
287,2025-01-07 00:00:00,CA,Edmundston,100,73,-9.58,14.756,4.63,47.3737,-68.3251
499,2025-01-07 00:00:00,CA,Vernon,99,84,3.75,38.75,0.51,50.2581,-119.2691
560,2025-01-07 00:00:00,CA,Thunder Bay,100,48,-12.01,10.381999999999998,3.09,48.4001,-89.3168
132,2025-01-07 00:00:00,CA,Labrador City,100,90,-3.79,25.178,7.15,52.9463,-66.9114
60,2025-01-07 00:00:00,CA,St. John'S,100,96,3.32,37.976,4.12,47.5649,-52.7093
59,2025-01-07 00:00:00,CA,Iqaluit,100,85,-9.15,15.529999999999998,1.54,63.7506,-68.5145
75,2025-01-07 00:00:00,CA,Kapuskasing,100,85,-15.95,3.2900000000000027,6.17,49.4169,-82.4331
87,2025-01-07 00:00:00,CA,Yellowknife,100,84,-23.58,-10.443999999999996,4.63,62.456,-114.3525
395,2025-01-07 00:00:00,CA,La Ronge,100,77,-21.86,-7.347999999999999,1.03,55.1001,-105.2842
168,2025-01-07 00:00:00,CA,Whitehorse,100,86,-1.57,29.174,11.32,60.7161,-135.0538
513,2025-01-07 00:00:00,CA,Winkler,100,66,-16.88,1.6160000000000032,1.54,49.1817,-97.941
101,2025-01-07 00:00:00,CA,La Sarre,100,91,-15.79,3.578000000000003,5.34,48.8002,-79.1996
57,2025-01-07 00:00:00,CA,Rouyn-Noranda,100,85,-12.95,8.690000000000001,6.17,48.2398,-79.0288
292,2025-01-07 00:00:00,CA,Bridgewater,12,79,-4.18,24.476,5.66,44.3835,-64.5155
131,2025-01-07 00:00:00,CD,Lisala,64,45,22.06,71.708,1.3,2.15,21.5167
396,2025-01-07 00:00:00,CD,Gbadolite,74,36,22.38,72.28399999999999,1.0,4.2833,21.0167
422,2025-01-07 00:00:00,CD,Beni,89,59,17.95,64.31,1.42,0.5,29.4667
458,2025-01-07 00:00:00,CF,Carnot,89,27,20.43,68.774,0.7,4.9409,15.8665
398,2025-01-07 00:00:00,CG,Impfondo,22,79,21.19,70.142,1.32,1.6381,18.0667
319,2025-01-07 00:00:00,CI,Ferkessedougou,3,24,23.83,74.89399999999999,1.3,9.6,-5.2
498,2025-01-07 00:00:00,CI,Seguela,16,33,23.22,73.79599999999999,0.5,7.9611,-6.6731
166,2025-01-07 00:00:00,CI,Tabou,55,84,26.01,78.818,2.13,4.423,-7.3528
567,2025-01-07 00:00:00,CI,Touba,69,28,23.25,73.85,0.73,8.2833,-7.6833
309,2025-01-07 00:00:00,CM,Bankim,92,27,18.88,65.984,0.51,6.083,11.4905
276,2025-01-07 00:00:00,CM,Abong Mbang,57,42,17.88,64.184,1.05,3.9833,13.1833
596,2025-01-07 00:00:00,CN,Yulinshi,0,41,-5.44,22.208,3.1,38.2906,109.7494
305,2025-01-07 00:00:00,CN,Qamdo,98,53,-2.24,27.968,2.79,31.1667,97.2333
453,2025-01-07 00:00:00,CN,Genhe,55,88,-19.69,-3.442,2.56,50.7833,121.5167
399,2025-01-07 00:00:00,CN,Rikaze,0,40,-3.55,25.61,0.82,29.25,88.8833
247,2025-01-07 00:00:00,CN,Erenhot,100,52,-8.86,16.052,6.16,43.6475,111.9767
354,2025-01-07 00:00:00,CN,Yinchuan,0,37,-4.16,24.512,1.49,38.4681,106.2731
199,2025-01-07 00:00:00,CN,Salaqi,0,50,-7.36,18.752,3.36,40.5414,110.5108
129,2025-01-07 00:00:00,CN,Lichuan,100,94,1.38,34.484,1.65,30.3,108.85
259,2025-01-07 00:00:00,CN,Xilin Hot,60,83,-13.43,7.8260000000000005,4.81,43.9667,116.0333
48,2025-01-07 00:00:00,CN,Wangqing,22,63,-11.84,10.687999999999999,1.6,43.3218,129.7634
163,2025-01-07 00:00:00,CN,Burang,63,89,-21.29,-6.321999999999996,1.67,30.25,81.1667
423,2025-01-07 00:00:00,CN,Mawu,100,58,-5.66,21.812,1.1,34.4307,104.9176
378,2025-01-07 00:00:00,CN,Hotan,1,50,-4.66,23.612000000000002,1.01,37.0997,79.9269
281,2025-01-07 00:00:00,CN,Wenling,100,56,8.14,46.652,4.23,28.3669,121.36
532,2025-01-07 00:00:00,CN,Nagqu,60,28,-8.76,16.232,1.75,31.5,92.0
253,2025-01-07 00:00:00,CO,Pizarro,100,89,24.98,76.964,0.59,4.9533,-77.366
228,2025-01-07 00:00:00,CO,San Andres,40,78,28.01,82.418,4.63,12.5847,-81.7006
519,2025-01-07 00:00:00,CO,Montecristo,77,97,24.18,75.524,1.32,8.2971,-74.4733
6,2025-01-07 00:00:00,CO,Mitu,77,98,22.81,73.05799999999999,0.66,1.1983,-70.1733
291,2025-01-07 00:00:00,CO,San Pedro De Uraba,76,96,23.78,74.804,0.49,8.2752,-76.3764
411,2025-01-07 00:00:00,CU,Batabano,53,84,21.81,71.258,1.28,22.7164,-82.2881
323,2025-01-07 00:00:00,CV,Nova Sintra,0,65,23.45,74.21,4.97,14.8667,-24.7167
559,2025-01-07 00:00:00,DE,Kunzelsau,100,81,8.09,46.562,2.57,49.2819,9.6889
569,2025-01-07 00:00:00,DE,Kolonia,75,77,7.2,44.96,4.12,50.9333,6.95
341,2025-01-07 00:00:00,DE,Augusta,100,75,5.89,42.602000000000004,4.63,48.3667,10.8833
58,2025-01-07 00:00:00,DE,Colonia,75,77,7.2,44.96,4.12,50.9333,6.95
472,2025-01-07 00:00:00,DZ,Reggane,0,38,13.05,55.49,3.48,26.7158,0.1714
503,2025-01-07 00:00:00,DZ,I-N-Salah,0,41,13.01,55.418,4.08,27.1935,2.4607
250,2025-01-07 00:00:00,DZ,Birine,18,76,7.24,45.032,7.72,35.635,3.225
477,2025-01-07 00:00:00,DZ,'Ain Boucif,70,79,5.23,41.414,6.44,35.8912,3.1585
92,2025-01-07 00:00:00,DZ,Tindouf,0,82,12.25,54.05,4.12,27.6711,-8.1474
249,2025-01-07 00:00:00,DZ,Metlili Chaamba,0,47,11.52,52.736,4.12,32.2667,3.6333
537,2025-01-07 00:00:00,DZ,Tamanrasset,0,48,4.95,40.91,1.54,22.785,5.5228
327,2025-01-07 00:00:00,DZ,Aoulef,0,43,12.48,54.464,4.26,26.9667,1.0833
