City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
172,2025-01-07 00:00:00,AO,Namibe,100,84,21.15,70.07,2.19,-15.1961,12.1522
324,2025-01-07 00:00:00,AO,Luanda,90,79,25.35,77.63,4.12,-8.8368,13.2343
271,2025-01-07 00:00:00,AO,Menongue,100,56,19.98,67.964,2.39,-14.6585,17.691
414,2025-01-07 00:00:00,AO,Luau,100,97,16.93,62.474000000000004,1.32,-10.7073,22.2247
27,2025-01-07 00:00:00,AO,Lucapa,100,97,17.86,64.148,0.52,-8.4192,20.7447
117,2025-01-07 00:00:00,AR,Ushuaia,75,62,10.81,51.458,3.6,-54.8,-68.3
508,2025-01-07 00:00:00,AR,Ingeniero Jacobacci,57,17,22.41,72.338,7.19,-41.3427,-69.5448
561,2025-01-07 00:00:00,AR,Perez,0,54,24.89,76.80199999999999,3.09,-32.9983,-60.7679
393,2025-01-07 00:00:00,AR,El Calafate,9,74,11.82,53.275999999999996,4.16,-50.3408,-72.2768
159,2025-01-07 00:00:00,AR,Puerto Deseado,15,82,13.9,57.02,5.45,-47.7503,-65.8938
69,2025-01-07 00:00:00,AR,Mar Del Plata,0,89,18.94,66.092,8.05,-38.0023,-57.5575
316,2025-01-07 00:00:00,AR,Viedma,13,29,30.06,86.10799999999999,9.16,-40.8135,-62.9967
340,2025-01-07 00:00:00,AR,Suncho Corral,88,28,29.36,84.848,4.43,-27.9336,-63.4294
564,2025-01-07 00:00:00,AS,Taulaga,100,81,27.12,80.816,8.07,-11.0553,-171.0883
397,2025-01-07 00:00:00,AU,Collie,34,43,29.77,85.586,1.27,-33.3667,116.15
289,2025-01-07 00:00:00,AU,Port Lincoln,0,52,19.64,67.352,7.78,-34.7333,135.8667
234,2025-01-07 00:00:00,AU,Wynyard,17,57,16.77,62.186,2.68,-41.0,145.7167
282,2025-01-07 00:00:00,AU,Kununurra,100,59,33.99,93.182,3.6,-15.7667,128.7333
349,2025-01-07 00:00:00,AU,Geraldton,20,65,27.23,81.014,6.69,-28.7667,114.6
3,2025-01-07 00:00:00,AU,Mount Gambier,6,41,21.19,70.142,6.02,-37.8333,140.7667
78,2025-01-07 00:00:00,AU,Mount Isa,1,23,37.87,100.166,3.6,-20.7333,139.5
74,2025-01-07 00:00:00,AU,Karratha,45,43,34.88,94.784,3.86,-20.7377,116.8463
384,2025-01-07 00:00:00,AU,Corowa,1,49,27.45,81.41,3.28,-36.0333,146.3833
51,2025-01-07 00:00:00,AU,Andergrove,4,72,27.1,80.78,6.38,-21.0833,149.1833
294,2025-01-07 00:00:00,AU,Ulladulla,100,87,18.03,64.45400000000001,7.02,-35.35,150.4667
218,2025-01-07 00:00:00,AU,Nuriootpa,0,20,22.78,73.004,5.45,-34.4833,139.0
81,2025-01-07 00:00:00,AU,Blackmans Bay,2,57,17.63,63.733999999999995,1.79,-43.0167,147.3167
52,2025-01-07 00:00:00,AU,Margaret River,100,56,23.17,73.706,6.96,-33.95,115.0667
201,2025-01-07 00:00:00,AU,Broken Hill,0,31,25.8,78.44,7.51,-31.95,141.4333
15,2025-01-07 00:00:00,AU,Codrington,91,66,18.22,64.79599999999999,7.57,-38.2667,141.9667
506,2025-01-07 00:00:00,AU,Nelson Bay,100,96,21.73,71.114,2.68,-32.7167,152.15
22,2025-01-07 00:00:00,AU,Carnarvon,0,69,27.25,81.05,5.74,-24.8667,113.6333
181,2025-01-07 00:00:00,AU,New Norfolk,2,27,18.29,64.922,1.75,-42.7826,147.0587
367,2025-01-07 00:00:00,AU,Port Douglas,100,73,28.86,83.94800000000001,4.55,-16.4833,145.4667
169,2025-01-07 00:00:00,BO,Santa Cruz,75,88,24.7,76.46,1.54,-17.8,-63.1667
189,2025-01-07 00:00:00,BO,Santa Rosa Del Sara,100,87,23.36,74.048,1.67,-17.1092,-63.5989
401,2025-01-07 00:00:00,BR,Sao Jose Da Coroa Grande,100,74,25.77,78.386,4.05,-8.8978,-35.1478
439,2025-01-07 00:00:00,BR,Belmonte,100,88,25.61,78.098,3.92,-15.8631,-38.8828
528,2025-01-07 00:00:00,BR,Paracuru,71,85,26.58,79.844,4.49,-3.41,-39.0306
578,2025-01-07 00:00:00,BR,Sao Vicente,100,26,24.97,76.946,3.13,-23.9631,-46.3919
402,2025-01-07 00:00:00,BR,Poxoreo,100,96,22.8,73.04,1.64,-15.8372,-54.3892
153,2025-01-07 00:00:00,BR,Touros,49,80,26.19,79.142,5.99,-5.1989,-35.4608
66,2025-01-07 00:00:00,BR,Sao Luis De Montes Belos,100,98,21.09,69.962,1.22,-16.525,-50.3722
243,2025-01-07 00:00:00,BR,Prainha,100,91,23.95,75.11,2.08,-1.8,-53.48
237,2025-01-07 00:00:00,BR,Entre Rios,36,95,22.22,71.996,1.92,-11.9419,-38.0844
124,2025-01-07 00:00:00,BR,Santa Cruz Do Sul,3,79,18.31,64.958,1.57,-29.7175,-52.4258
310,2025-01-07 00:00:00,BR,Redencao,100,96,23.92,75.05600000000001,1.4,-4.2258,-38.7306
546,2025-01-07 00:00:00,BR,Uaua,100,70,24.22,75.596,4.4,-9.8414,-39.4817
571,2025-01-07 00:00:00,BR,Vila Velha,75,97,22.97,73.346,2.06,-20.3297,-40.2925
165,2025-01-07 00:00:00,BR,Cristalina,100,96,18.63,65.53399999999999,1.22,-16.7686,-47.6136
589,2025-01-07 00:00:00,BR,Luis Correia,100,88,25.53,77.95400000000001,3.32,-2.8792,-41.6669
430,2025-01-07 00:00:00,BR,Vilhena,46,97,20.86,69.548,1.44,-12.7406,-60.1458
257,2025-01-07 00:00:00,BR,Rio Grande,0,71,18.35,65.03,3.84,-32.035,-52.0986
68,2025-01-07 00:00:00,BR,Arraial Do Cabo,40,100,23.98,75.164,2.57,-22.9661,-42.0278
161,2025-01-07 00:00:00,BR,Rio Verde De Mato Grosso,81,87,24.15,75.47,1.77,-18.9181,-54.8442
351,2025-01-07 00:00:00,BR,Castanhal,100,98,22.76,72.968,1.47,-1.2939,-47.9264
320,2025-01-07 00:00:00,BR,Cassia,100,83,20.58,69.044,0.52,-20.5831,-46.9219
146,2025-01-07 00:00:00,BR,Carutapera,100,86,25.54,77.972,3.22,-1.195,-46.02
445,2025-01-07 00:00:00,BR,Aracuai,100,87,23.5,74.3,0.65,-16.8497,-42.0703
505,2025-01-07 00:00:00,BR,Ipora,100,96,21.53,70.754,1.11,-16.4419,-51.1178
244,2025-01-07 00:00:00,BR,Ipubi,59,71,23.92,75.05600000000001,1.1,-7.6519,-40.1489
36,2025-01-07 00:00:00,BR,Capao Bonito,100,95,19.19,66.542,3.58,-24.0058,-48.3494
280,2025-01-07 00:00:00,BR,Itaituba,99,98,23.55,74.39,0.86,-4.2761,-55.9836
533,2025-01-07 00:00:00,BR,Sao Gabriel Da Cachoeira,100,91,23.64,74.55199999999999,0.87,-0.1303,-67.0892
493,2025-01-07 00:00:00,BR,Trairi,58,85,26.25,79.25,3.65,-3.2778,-39.2689
95,2025-01-07 00:00:00,BR,Sao Joao Da Barra,81,89,24.56,76.208,1.24,-21.6403,-41.0511
192,2025-01-07 00:00:00,BR,Manicore,17,88,24.27,75.686,1.15,-5.8092,-61.3003
321,2025-01-07 00:00:00,BR,Piacabucu,73,75,25.34,77.612,4.23,-10.4056,-36.4344
278,2025-01-07 00:00:00,BW,Francistown,100,82,21.17,70.10600000000001,4.03,-21.17,27.5079
553,2025-01-07 00:00:00,BW,Maun,75,100,20.98,69.764,3.09,-19.9833,23.4167
352,2025-01-07 00:00:00,BW,Ghanzi,100,89,20.15,68.27,2.37,-21.5667,21.7833
449,2025-01-07 00:00:00,BW,Letlhakeng,100,92,20.17,68.30600000000001,2.25,-24.0944,25.0298
141,2025-01-07 00:00:00,CC,West Island,20,79,28.99,84.18199999999999,4.63,-12.1568,96.8225
433,2025-01-07 00:00:00,CD,Mangai,100,98,20.46,68.828,1.08,-4.05,19.5333
338,2025-01-07 00:00:00,CD,Tshela,100,100,21.99,71.582,0.36,-4.9833,12.9333
377,2025-01-07 00:00:00,CD,Mwene-Ditu,96,97,17.4,63.32,1.11,-7.0,23.45
98,2025-01-07 00:00:00,CK,Avarua,100,83,27.03,80.654,2.57,-21.2078,-159.775
242,2025-01-07 00:00:00,CL,Lebu,55,89,13.67,56.606,5.22,-37.6167,-73.65
392,2025-01-07 00:00:00,CL,Taltal,27,86,18.44,65.19200000000001,0.54,-25.4,-70.4833
64,2025-01-07 00:00:00,CL,Puerto Natales,1,88,7.47,45.446,1.5,-51.7236,-72.4875
41,2025-01-07 00:00:00,CL,Punta Arenas,0,54,12.06,53.708,7.2,-53.15,-70.9167
295,2025-01-07 00:00:00,CL,Ancud,13,89,12.66,54.788,1.98,-41.8697,-73.8203
308,2025-01-07 00:00:00,CL,Coquimbo,100,83,18.85,65.93,3.6,-29.9533,-71.3436
435,2025-01-07 00:00:00,CL,Constitucion,50,86,13.49,56.282,2.31,-35.3333,-72.4167
236,2025-01-07 00:00:00,CL,Quellon,15,94,12.47,54.446,2.37,-43.1167,-73.6167
221,2025-01-07 00:00:00,CL,Los Andes,0,63,21.59,70.862,0.67,-32.8337,-70.5983
326,2025-01-07 00:00:00,CL,Chonchi,12,95,11.6,52.879999999999995,1.19,-42.6128,-73.8092
63,2025-01-07 00:00:00,CX,Flying Fish Cove,100,89,26.82,80.276,3.6,-10.4217,105.6791
94,2025-01-07 00:00:00,EC,Puerto Baquerizo Moreno,56,84,23.52,74.336,4.16,-0.9,-89.6
121,2025-01-07 00:00:00,EC,Puerto Ayora,77,95,24.19,75.542,0.45,-0.7393,-90.3518
88,2025-01-07 00:00:00,EC,Macas,100,97,20.32,68.576,1.09,-2.3167,-78.1167
454,2025-01-07 00:00:00,GA,Booue,100,96,22.84,73.112,0.65,-0.0921,11.9385
366,2025-01-07 00:00:00,GA,Port-Gentil,100,82,26.39,79.502,4.22,-0.7193,8.7815
577,2025-01-07 00:00:00,GQ,San Antonio De Pale,100,77,26.76,80.168,3.12,-1.4014,5.6325
14,2025-01-07 00:00:00,GS,Grytviken,100,81,8.47,47.246,5.38,-54.2811,-36.5092
369,2025-01-07 00:00:00,ID,Loa Janan,91,62,31.43,88.574,0.39,-0.583,117.095
219,2025-01-07 00:00:00,ID,Abepura,20,66,30.45,86.81,1.54,-2.6333,140.5833
441,2025-01-07 00:00:00,ID,Karaton,95,68,28.09,82.562,2.01,-6.3424,106.1045
524,2025-01-07 00:00:00,ID,Kupang,20,70,31.32,88.376,2.57,-10.1667,123.5833
517,2025-01-07 00:00:00,ID,Tayu,80,77,28.15,82.67,1.15,-6.5397,111.0518
65,2025-01-07 00:00:00,ID,Jayapura,100,69,30.66,87.188,2.34,-2.5333,140.7
231,2025-01-07 00:00:00,ID,Bengkulu,86,86,25.52,77.936,3.39,-3.8004,102.2655
